,Name,Size,Coord,Direction,Color
0,"('Sophia', 1.0)",70,"(478, 152)",2.0,"rgb(253, 227, 224)"
1,"('Isabella', 0.9705127361284802)",70,"(306, 136)",,"rgb(248, 126, 169)"
2,"('Emma', 0.8795497926676759)",70,"(399, 250)",2.0,"rgb(253, 213, 209)"
3,"('Olivia', 0.8775093793194234)",70,"(762, 191)",,"rgb(216, 46, 148)"
4,"('Mia', 0.8330152043704337)",70,"(819, 213)",,"rgb(250, 162, 182)"
5,"('Emily', 0.7694991114328967)",70,"(229, 215)",,"rgb(132, 1, 120)"
6,"('Leah', 0.6849206871585599)",70,"(566, 257)",,"rgb(254, 230, 227)"
7,"('Chloe', 0.6301586256828803)",70,"(632, 224)",,"rgb(243, 97, 160)"
8,"('Madison', 0.6178503258079379)",70,"(373, 92)",2.0,"rgb(179, 6, 129)"
9,"('Ava', 0.6177845060225103)",70,"(452, 300)",,"rgb(158, 1, 124)"
10,"('Sofia', 0.5883630619364181)",70,"(690, 228)",,"rgb(214, 45, 147)"
11,"('Sarah', 0.5783584545514382)",65,"(367, 301)",,"rgb(253, 216, 213)"
12,"('Abigail', 0.521687619298361)",40,"(120, 374)",,"rgb(171, 1, 126)"
13,"('Victoria', 0.5010202066741263)",40,"(374, 211)",2.0,"rgb(202, 32, 141)"
14,"('Esther', 0.46600408082669653)",40,"(425, 338)",,"rgb(153, 1, 123)"
15,"('Rachel', 0.4298690186269993)",40,"(873, 246)",,"rgb(217, 48, 149)"
16,"('Zoe', 0.4294740999144343)",40,"(105, 294)",2.0,"rgb(254, 235, 231)"
17,"('ASHLEY', 0.40650299480023694)",40,"(509, 303)",,"rgb(251, 173, 185)"
18,"('Maya', 0.38978476930165207)",40,"(380, 157)",2.0,"rgb(177, 5, 128)"
19,"('Elizabeth', 0.38293951161719214)",29,"(282, 133)",,"rgb(152, 1, 123)"
20,"('Samantha', 0.3729349042322122)",29,"(401, 66)",2.0,"rgb(251, 178, 186)"
21,"('Ella', 0.3619430000658198)",29,"(54, 441)",2.0,"rgb(85, 0, 109)"
22,"('Grace', 0.3590469295070098)",29,"(161, 431)",,"rgb(252, 191, 190)"
23,"('Gabriella', 0.35542684130849733)",27,"(542, 305)",,"rgb(236, 82, 157)"
24,"('Charlotte', 0.35378134667280986)",22,"(744, 123)",,"rgb(247, 112, 164)"
25,"('Chaya', 0.3462120713486474)",22,"(217, 91)",,"rgb(252, 192, 191)"
26,"('Hailey', 0.33903771473704997)",22,"(839, 338)",,"rgb(254, 240, 236)"
27,"('Amelia', 0.3306786019877575)",22,"(207, 295)",,"rgb(253, 212, 208)"
28,"('Camila', 0.32797999078523005)",22,"(124, 198)",2.0,"rgb(252, 203, 198)"
29,"('Hannah', 0.3069834792338577)",22,"(763, 164)",2.0,"rgb(239, 89, 158)"
30,"('Kayla', 0.3067202000921477)",22,"(574, 422)",2.0,"rgb(223, 56, 152)"
31,"('Sara', 0.3048114263147502)",22,"(144, 173)",2.0,"rgb(254, 236, 233)"
32,"('Arianna', 0.28809320081616535)",22,"(382, 241)",2.0,"rgb(185, 13, 132)"
33,"('Miriam', 0.28756664253274533)",22,"(189, 418)",,"rgb(248, 119, 166)"
34,"('Ariana', 0.2821036003422629)",22,"(904, 247)",,"rgb(135, 1, 121)"
35,"('BRIANNA', 0.2801948265648654)",22,"(644, 206)",2.0,"rgb(253, 215, 211)"
36,"('Alexandra', 0.2791417099980254)",21,"(360, 90)",,"rgb(250, 167, 183)"
37,"('Valentina', 0.2722964523135655)",21,"(816, 327)",,"rgb(225, 59, 152)"
38,"('Eva', 0.26038307115118803)",21,"(637, 303)",2.0,"rgb(135, 1, 121)"
39,"('Chana', 0.25656552359639306)",21,"(283, 307)",,"rgb(252, 205, 201)"
40,"('Nicole', 0.25610478509840057)",21,"(380, 88)",2.0,"rgb(113, 1, 117)"
41,"('Anna', 0.2555782268149806)",21,"(280, 426)",,"rgb(250, 163, 182)"
42,"('Evelyn', 0.2545909300335681)",21,"(94, 324)",2.0,"rgb(251, 180, 187)"
43,"('Kaylee', 0.2507075626933456)",21,"(622, 338)",,"rgb(147, 1, 122)"
44,"('Julia', 0.24478378200487066)",21,"(744, 250)",,"rgb(132, 1, 120)"
